"pokemon","item","percent"
"Incineroar","Figy Berry","31.073"
"Incineroar","Assault Vest","20.566"
"Incineroar","Incinium Z","18.080"
"Incineroar","Iapapa Berry","10.289"
"Incineroar","Aguav Berry","8.102"
"Incineroar","Mago Berry","5.863"
"Incineroar","Safety Goggles","2.904"
"Incineroar","Other","3.122"
"Rayquaza-Mega","Assault Vest","22.024"
"Rayquaza-Mega","Choice Band","20.349"
"Rayquaza-Mega","Aguav Berry","14.815"
"Rayquaza-Mega","Figy Berry","11.633"
"Rayquaza-Mega","Life Orb","11.126"
"Rayquaza-Mega","Focus Sash","8.140"
"Rayquaza-Mega","Iapapa Berry","6.795"
"Rayquaza-Mega","Roseli Berry","3.061"
"Rayquaza-Mega","Other","2.045"
"Tapu Koko","Choice Specs","25.372"
"Tapu Koko","Assault Vest","23.926"
"Tapu Koko","Fairium Z","21.343"
"Tapu Koko","Electrium Z","15.421"
"Tapu Koko","Life Orb","3.758"
"Tapu Koko","Tapunium Z","3.705"
"Tapu Koko","Mago Berry","2.118"
"Tapu Koko","Other","4.353"
"Xerneas","Power Herb","99.635"
"Xerneas","Other","0.364"
"Tapu Fini","Wiki Berry","43.418"
"Tapu Fini","Sitrus Berry","21.198"
"Tapu Fini","Waterium Z","13.278"
"Tapu Fini","Aguav Berry","7.250"
"Tapu Fini","Fairium Z","4.535"
"Tapu Fini","Tapunium Z","4.167"
"Tapu Fini","Other","6.146"
"Groudon-Primal","Red Orb","100.000"
"Lunala","Lunalium Z","71.839"
"Lunala","Choice Scarf","11.855"
"Lunala","Kasib Berry","10.667"
"Lunala","Colbur Berry","4.152"
"Lunala","Other","1.484"
"Kyogre-Primal","Blue Orb","100.000"
"Salamence-Mega","Salamencite","100.000"
"Kartana","Assault Vest","77.205"
"Kartana","Grassium Z","13.139"
"Kartana","Focus Sash","4.632"
"Kartana","Flyinium Z","2.000"
"Kartana","Other","3.024"
"Amoonguss","Focus Sash","51.328"
"Amoonguss","Occa Berry","18.060"
"Amoonguss","Coba Berry","12.514"
"Amoonguss","Payapa Berry","6.032"
"Amoonguss","Mental Herb","5.202"
"Amoonguss","Other","6.864"
"Kangaskhan-Mega","Kangaskhanite","100.000"
"Stakataka","Shuca Berry","36.437"
"Stakataka","Rockium Z","33.993"
"Stakataka","Life Orb","16.892"
"Stakataka","Safety Goggles","9.292"
"Stakataka","Other","3.365"
"Tapu Lele","Choice Scarf","76.550"
"Tapu Lele","Psychium Z","10.048"
"Tapu Lele","Fightinium Z","6.407"
"Tapu Lele","Focus Sash","4.197"
"Tapu Lele","Other","2.797"
"Nihilego","Focus Sash","46.781"
"Nihilego","Rockium Z","46.553"
"Nihilego","Life Orb","3.069"
"Nihilego","Other","3.597"
"Crobat","Poisonium Z","38.667"
"Crobat","Focus Sash","34.155"
"Crobat","Payapa Berry","14.089"
"Crobat","Mental Herb","6.806"
"Crobat","Mago Berry","3.480"
"Crobat","Other","2.802"
"Necrozma-Dusk-Mane","Ultranecrozium Z","70.267"
"Necrozma-Dusk-Mane","Solganium Z","18.288"
"Necrozma-Dusk-Mane","Weakness Policy","3.184"
"Necrozma-Dusk-Mane","Iapapa Berry","2.824"
"Necrozma-Dusk-Mane","Aguav Berry","2.490"
"Necrozma-Dusk-Mane","Other","2.937"
"Tornadus","Flyinium Z","95.101"
"Tornadus","Focus Sash","2.510"
"Tornadus","Other","2.388"
"Ditto","Choice Scarf","89.767"
"Ditto","Aguav Berry","5.422"
"Ditto","Red Card","2.493"
"Ditto","Other","2.318"
"Landorus-Therian","Groundium Z","70.954"
"Landorus-Therian","Life Orb","12.388"
"Landorus-Therian","Choice Band","7.173"
"Landorus-Therian","Choice Scarf","6.435"
"Landorus-Therian","Other","3.048"
"Metagross-Mega","Metagrossite","100.000"
"Yveltal","Darkinium Z","43.993"
"Yveltal","Aguav Berry","15.009"
"Yveltal","Iapapa Berry","14.616"
"Yveltal","Assault Vest","13.808"
"Yveltal","Mago Berry","6.804"
"Yveltal","Other","5.770"
"Gengar-Mega","Gengarite","100.000"
"Togedemaru","Assault Vest","60.559"
"Togedemaru","Focus Sash","19.620"
"Togedemaru","Electrium Z","8.581"
"Togedemaru","Eject Button","7.874"
"Togedemaru","Other","3.353"
"Solgaleo","Solganium Z","46.953"
"Solgaleo","Life Orb","24.837"
"Solgaleo","Figy Berry","9.612"
"Solgaleo","Iapapa Berry","6.926"
"Solgaleo","Groundium Z","4.122"
"Solgaleo","Sitrus Berry","2.862"
"Solgaleo","Other","4.687"
"Shedinja","Focus Sash","99.710"
"Shedinja","Other","0.290"
"Bronzong","Psychium Z","45.045"
"Bronzong","Occa Berry","19.107"
"Bronzong","Safety Goggles","18.453"
"Bronzong","Mental Herb","9.122"
"Bronzong","Kasib Berry","2.502"
"Bronzong","Other","5.771"
"Ferrothorn","Leftovers","32.238"
"Ferrothorn","Figy Berry","23.622"
"Ferrothorn","Aguav Berry","23.380"
"Ferrothorn","Iapapa Berry","10.952"
"Ferrothorn","Wiki Berry","4.311"
"Ferrothorn","Choice Band","2.317"
"Ferrothorn","Other","3.160"
"Celesteela","Leftovers","59.839"
"Celesteela","Safety Goggles","33.404"
"Celesteela","Aguav Berry","4.709"
"Celesteela","Other","2.007"
"Umbreon","Sitrus Berry","40.985"
"Umbreon","Psychic Seed","36.876"
"Umbreon","Iapapa Berry","13.436"
"Umbreon","Aguav Berry","5.894"
"Umbreon","Other","2.689"
"Smeargle","Focus Sash","95.656"
"Smeargle","Other","4.344"
"Mimikyu","Mimikium Z","77.945"
"Mimikyu","Mental Herb","9.691"
"Mimikyu","Fairium Z","8.960"
"Mimikyu","Focus Sash","2.865"
"Mimikyu","Other","0.540"
"Whimsicott","Focus Sash","62.384"
"Whimsicott","Fairium Z","35.833"
"Whimsicott","Other","1.782"
"Kommo-o","Kommonium Z","99.997"
"Kommo-o","Other","0.003"
"Naganadel","Poisonium Z","58.662"
"Naganadel","Dragonium Z","25.930"
"Naganadel","Focus Sash","14.570"
"Naganadel","Other","0.837"
"Chansey","Eviolite","100.000"
"Chansey","Other","0.000"
"Lucario-Mega","Lucarionite","100.000"
"Gengar","Focus Sash","75.656"
"Gengar","Choice Scarf","13.716"
"Gengar","Ghostium Z","9.551"
