"pokemon","nature","ev","hp","atk","def","spa","spd","spe","percent"
"Incineroar","Careful","236/4/4/0/236/28","236","4","4","0","236","28","8.263"
"Incineroar","Sassy","236/0/36/0/236/0","236","0","36","0","236","0","7.177"
"Incineroar","Brave","252/4/4/4/244/0","252","4","4","4","244","0","5.982"
"Incineroar","Careful","252/0/20/0/236/0","252","0","20","0","236","0","5.618"
"Incineroar","Sassy","236/0/28/0/244/0","236","0","28","0","244","0","4.913"
"Incineroar","Careful","236/0/0/0/236/36","236","0","0","0","236","36","4.590"
"Incineroar","Sassy","236/0/20/0/252/0","236","0","20","0","252","0","4.320"
"Incineroar","Careful","236/0/0/0/220/52","236","0","0","0","220","52","3.926"
"Incineroar","Sassy","252/0/20/0/236/0","252","0","20","0","236","0","2.600"
"Incineroar","Adamant","236/4/4/0/236/28","236","4","4","0","236","28","2.574"
"Incineroar","Brave","252/36/4/4/212/0","252","36","4","4","212","0","2.420"
"Incineroar","Sassy","236/36/0/0/236/0","236","36","0","0","236","0","2.226"
"Incineroar","Sassy","252/0/4/0/252/0","252","0","4","0","252","0","2.126"
"Incineroar","Careful","244/4/4/0/244/12","244","4","4","0","244","12","1.396"
"Incineroar","Careful","252/0/4/0/156/96","252","0","4","0","156","96","1.154"
"Incineroar","Careful","236/4/20/0/236/12","236","4","20","0","236","12","0.942"
"Incineroar","Careful","244/4/4/0/108/148","244","4","4","0","108","148","0.933"
"Incineroar","Adamant","244/180/4/0/76/4","244","180","4","0","76","4","0.915"
"Incineroar","Careful","236/0/20/0/252/0","236","0","20","0","252","0","0.888"
"Incineroar","Careful","236/0/0/0/252/20","236","0","0","0","252","20","0.829"
"Incineroar","Careful","236/0/0/0/244/28","236","0","0","0","244","28","0.801"
"Incineroar","Careful","252/4/4/0/236/12","252","4","4","0","236","12","0.773"
"Incineroar","Brave","244/148/0/0/116/0","244","148","0","0","116","0","0.751"
"Incineroar","Impish","236/4/92/0/92/84","236","4","92","0","92","84","0.748"
"Incineroar","Sassy","252/4/0/0/252/0","252","4","0","0","252","0","0.714"
"Incineroar","Adamant","236/100/20/0/148/4","236","100","20","0","148","4","0.688"
"Incineroar","Impish","252/4/132/0/108/12","252","4","132","0","108","12","0.626"
"Incineroar","Careful","252/4/4/0/156/92","252","4","4","0","156","92","0.568"
"Incineroar","Careful","236/0/36/0/236/0","236","0","36","0","236","0","0.556"
"Incineroar","Adamant","236/68/4/0/156/44","236","68","4","0","156","44","0.552"
"Incineroar","Careful","252/0/4/0/252/0","252","0","4","0","252","0","0.519"
"Rayquaza-Mega","Adamant","4/252/0/0/0/252","4","252","0","0","0","252","9.196"
"Rayquaza-Mega","Jolly","252/4/92/0/20/140","252","4","92","0","20","140","7.088"
"Rayquaza-Mega","Jolly","4/252/0/0/0/252","4","252","0","0","0","252","6.747"
"Rayquaza-Mega","Adamant","4/244/4/0/4/252","4","244","4","0","4","252","4.914"
"Rayquaza-Mega","Hasty","4/252/0/0/0/252","4","252","0","0","0","252","3.766"
"Rayquaza-Mega","Adamant","164/84/4/0/4/252","164","84","4","0","4","252","3.420"
"Rayquaza-Mega","Jolly","188/76/4/0/76/164","188","76","4","0","76","164","3.030"
"Rayquaza-Mega","Hasty","180/84/0/4/20/220","180","84","0","4","20","220","2.771"
"Rayquaza-Mega","Hasty","0/252/0/4/0/252","0","252","0","4","0","252","2.624"
"Rayquaza-Mega","Jolly","252/4/4/0/84/164","252","4","4","0","84","164","2.363"
"Rayquaza-Mega","Hasty","244/4/20/0/76/164","244","4","20","0","76","164","2.142"
"Rayquaza-Mega","Lonely","212/0/0/0/44/252","212","0","0","0","44","252","2.108"
"Rayquaza-Mega","Hasty","196/44/0/12/4/252","196","44","0","12","4","252","1.825"
"Rayquaza-Mega","Jolly","196/52/4/0/76/180","196","52","4","0","76","180","1.489"
"Rayquaza-Mega","Hasty","68/76/0/4/108/252","68","76","0","4","108","252","1.454"
"Rayquaza-Mega","Jolly","252/28/4/0/84/140","252","28","4","0","84","140","1.383"
"Rayquaza-Mega","Adamant","68/180/4/0/4/252","68","180","4","0","4","252","1.367"
"Rayquaza-Mega","Jolly","252/72/4/0/12/164","252","72","4","0","12","164","1.341"
"Rayquaza-Mega","Jolly","188/44/4/0/108/164","188","44","4","0","108","164","1.186"
"Rayquaza-Mega","Jolly","252/4/4/0/76/172","252","4","4","0","76","172","1.107"
"Rayquaza-Mega","Adamant","188/4/4/0/60/252","188","4","4","0","60","252","1.104"
"Rayquaza-Mega","Hasty","4/244/0/4/4/252","4","244","0","4","4","252","0.894"
"Rayquaza-Mega","Hasty","0/252/0/20/0/236","0","252","0","20","0","236","0.835"
"Rayquaza-Mega","Jolly","68/148/4/0/124/164","68","148","4","0","124","164","0.832"
"Rayquaza-Mega","Jolly","188/92/4/0/60/164","188","92","4","0","60","164","0.786"
"Rayquaza-Mega","Jolly","68/188/0/0/0/252","68","188","0","0","0","252","0.761"
"Rayquaza-Mega","Jolly","196/60/4/0/76/172","196","60","4","0","76","172","0.693"
"Rayquaza-Mega","Brave","212/12/116/12/140/12","212","12","116","12","140","12","0.670"
"Rayquaza-Mega","Jolly","0/252/0/0/4/252","0","252","0","0","4","252","0.623"
"Rayquaza-Mega","Hasty","244/4/20/76/0/164","244","4","20","76","0","164","0.605"
"Rayquaza-Mega","Adamant","252/4/0/0/0/252","252","4","0","0","0","252","0.571"
"Rayquaza-Mega","Adamant","188/28/4/0/36/252","188","28","4","0","36","252","0.556"
